Name,Birth,Death,Category
Leonardo da Vinci,1452-04-15,1519-05-02,Art
Michelangelo di Lodovico Buonarroti Simoni (Michelangelo),1475-03-06,1564-02-18,Art
Raffaello Sanzio da Urbino (Raffael),1483-04-01,1520-04-06,Art
Tiziano Vecelli (Tizian),1488-01-01,1576-08-27,Art
Vincent van Gogh,1853-03-30,1890-07-29,Art
Johannes Vermeer,1632-10-01,1675-12-15,Art
Jan van Eyck,1390-01-01,1441-07-09,Art
Rembrandt Harmenszoon van Rijn (Rembrandt),1606-07-15,1669-10-04,Art
Francisco Goya,1746-03-30,1828-04-16,Art
Alessandro di Mariano di Vanni Filipepi (Sandro Botticelli),1445-01-01,1510-05-17,Art
Diego Rodríguez de Silva y Velázquez,1599-06-06,1660-08-06,Art
Joseph Mallord William Turner,1775-04-23,1851-12-19,Art
Paul Cézanne,1839-01-19,1906-10-22,Art
Claude Monet,1840-11-14,1926-12-05,Art
Michelangelo Merisi da Caravaggio (Caravaggio),1571-09-28,1610-07-18,Art
Rogier van der Weyden,1399-01-01,1464-06-18,Art
Piero della Francesca,1415-01-01,1492-10-12,Art
Pieter Bruegel the Elder,1525-01-01,1569-09-09,Art
